[]
"['U72900KA2021PTC151100', 'HYPERLOGIC SYSTEMS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC143577', 'TRANSLAB EQUIPMENT SOLUTION PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC147188', 'WINTIME TECHNOLOGY SOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2019PTC128017', 'PROTOEZY DESIGNS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2019PTC120134', 'LEADOWS TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC146896', 'PAYSEROUTES TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC141684', 'HEXXACORE TECH AND MANAGEMENT PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC135662', 'SMARTPAVE SOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2022PTC165551', 'MAMAMUTECHNOLOGY PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2022PTC167052', 'IQTREE TECH SOFT PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2021PTC146706', 'WIFIDABBA TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
[]
"['U72900KA2019PTC126372', '10XG VENTURES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC152987', 'YOUNG FOLKS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2017PTC101612', 'FOURTH WALL TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2022PTC164390', 'CLOUDDOT SOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC155440', 'GLOG TECH PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2022PTC167329', 'PENENZA INDIA PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2019PTC125476', 'OSM VISIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC154513', 'SCRIPL TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72200KA2021PTC153959', 'EXQVIA SOLUTIONS PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA1994PTC015350', 'UXL INFORMATION TECHNOLOGIES PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2020PTC132271', 'EZIT SOLUTION PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72502KA2018PTC110147', 'BIZSENSE DIGITAL INDIA PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72900KA2021PTC154306', 'VCREST SERVICE PRIVATE LIMITED', 'Bangalore', 'Active']"
"['U72500KA2021PTC147390', 'STUDENTEX PRIVATE LIMITED', 'Bangalore', 'Active']"
