[]
"['U72900PN2018PTC178167', 'ORAMO TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2019PTC185686', 'KRITEJ IT SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC193145', 'VOLATILE SOFTWARE SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2019PTC187767', 'RITESOURCING TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2005PTC021567', 'HOL INFOSOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2016PTC158778', 'TECHNOREVO SOFTWARES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC192142', 'MEGAFLARE CONSULTING PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC189335', 'TMB EPUBLISHERS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC216027', 'TACTLOGIC TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC216340', 'NEWTUPLE TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC199499', 'EXELLENCIER TECHNOLOGIESS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC200229', 'ZITRIX TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2022PTC208093', 'SDJB PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2009PTC133400', 'MANIKS SYSTEMS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC203834', 'CHASSIS INDIA TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC195360', 'QUINTILE STAT MARKET RESEARCH PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC209063', 'NXAI TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC201899', 'EABV BUSINESS CONSULTING PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2017PTC170933', 'SURN MULTI SERVICES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC197404', 'WEPROPEL INDIA PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2017PTC167961', 'ARCHON CXO PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC206714', 'TRAVITONS TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC199417', 'MYLOZO TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2019PTC185945', 'ADNA INTELLIGENCE PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2023PTC217588', 'KHANDAR SOFTECH PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC190623', 'GOLDEN RATIO FUNDS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2014PTC153020', 'COMPADRE TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC198377', '4ESOFTWARE PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2018PTC180232', 'TECHNOQUAKE CONSULTANCY AND SERVICES PRIVATE LIMITED', 'Pune', 'Active']"
[]
"['U72900PN2019PTC182154', 'COREASON MULTISKILLS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2022PTC212849', 'TETRA RISK MANAGEMENT SERVICES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC216000', 'WILLSTAR MEDIA PRO PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC195163', 'DGPSOFT SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2023PTC217721', '2CENTS TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
