[]
"['U72200WB2022PTC252200', 'PRIVEASY SOLUTIONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2021PTC245063', 'ELENTY TRADING PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2019PTC232511', 'ZXV ENGINEERING & INFRASTRUCTURE PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2022PTC255953', 'MILLIMETRE LABS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC245066', 'FINLAYER SALES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2021PTC243886', 'INTEGRATIVE CHOICES TECHNOLOGY PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2022PTC257714', 'DIGNITY CONSULTANCY SERVICES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2009PTC140109', 'IMPETUS INFOCOM PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC249938', 'TRUEPOST INDIA PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB1981PTC034095', 'EL K SERVICES PVT LTD', 'Kolkata', 'Active']"
"['U72502WB2000PTC091499', 'Y2K COMPUTERS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2015PTC207732', 'ONQANET TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
[]
